x_m_local,y_m_local,z_m_terrain,height_m,crown_radius_m,asset_type,scale,yaw_degrees
1015.0,1239.0,2.58,37.4,8.0,large_tree,2.337,94.878
274.0,1601.0,4.835,37.365,8.0,large_tree,2.335,309.09
1672.0,197.0,1.84,37.26,8.0,large_tree,2.329,315.005
1850.0,998.0,3.09,37.24,8.0,large_tree,2.327,158.378
216.0,1416.0,3.98,37.23,8.0,large_tree,2.327,192.731
2010.0,557.0,3.39,37.23,8.0,large_tree,2.327,226.092
1577.0,1263.0,2.56,37.23,8.0,large_tree,2.327,28.545
1702.0,227.0,2.54,37.19,8.0,large_tree,2.324,188.463
565.0,2015.0,5.29,37.12,8.0,large_tree,2.32,172.408
926.0,1283.0,2.33,37.12,8.0,large_tree,2.32,200.635
1670.0,33.0,1.71,37.09,8.0,large_tree,2.318,201.109
1675.0,31.0,2.03,37.02,8.0,large_tree,2.314,335.047
1345.0,1549.0,3.47,36.92,8.0,large_tree,2.308,156.153
1010.0,1235.0,2.46,36.91,8.0,large_tree,2.307,270.293
1920.0,591.0,2.31,36.9,8.0,large_tree,2.306,119.358
222.0,1482.0,4.42,36.88,8.0,large_tree,2.305,305.95
111.0,648.0,3.15,36.87,8.0,large_tree,2.304,263.771
1818.0,1824.0,7.09,36.84,8.0,large_tree,2.302,179.023
490.0,1296.0,2.8,36.84,8.0,large_tree,2.302,330.222
219.0,1409.0,3.91,36.81,8.0,large_tree,2.301,63.809
1687.0,760.0,2.445,36.805,8.0,large_tree,2.3,24.615
29.0,1496.0,3.26,36.8,8.0,large_tree,2.3,61.44
1668.0,60.0,1.69,36.8,8.0,large_tree,2.3,345.635
56.0,653.0,2.91,36.76,8.0,large_tree,2.297,279.682
220.0,1488.0,2.785,36.745,8.0,large_tree,2.297,259.696
231.0,1486.0,3.42,36.69,8.0,large_tree,2.293,283.457
216.0,1587.0,4.1,36.68,8.0,large_tree,2.293,122.535
1669.0,1623.0,3.5,36.68,8.0,large_tree,2.292,359.889
1589.0,1257.0,2.71,36.54,8.0,large_tree,2.284,287.657
1527.0,107.0,3.27,36.51,8.0,large_tree,2.282,293.304
215.0,1475.0,4.45,36.47,8.0,large_tree,2.279,243.845
679.0,211.0,3.25,36.39,8.0,large_tree,2.274,197.375
368.0,1523.0,4.16,36.31,8.0,large_tree,2.269,202.234
1875.0,862.0,2.59,36.3,8.0,large_tree,2.269,71.541
1204.0,1442.0,3.4,36.26,8.0,large_tree,2.266,140.199
1.0,83.0,1.25,36.25,8.0,large_tree,2.266,250.23
1472.0,184.0,2.9,36.18,8.0,large_tree,2.261,325.019
366.0,1508.0,4.51,36.17,8.0,large_tree,2.261,90.879
1647.0,1653.0,3.85,36.05,8.0,large_tree,2.253,26.375
178.0,1114.0,2.1,36.03,8.0,large_tree,2.252,199.633
630.0,273.0,3.08,36.03,8.0,large_tree,2.252,79.493
46.0,665.0,2.49,35.99,8.0,large_tree,2.249,180.144
173.0,1100.0,3.19,35.97,8.0,large_tree,2.248,303.048
315.0,805.0,3.17,35.97,8.0,large_tree,2.248,128.954
1151.0,1477.0,3.13,35.93,8.0,large_tree,2.246,284.047
1729.0,199.0,2.255,35.915,8.0,large_tree,2.245,299.171
565.0,1762.0,4.1,35.88,8.0,large_tree,2.243,69.74
367.0,204.0,2.27,35.88,8.0,large_tree,2.243,26.988
1663.0,26.0,1.29,35.85,8.0,large_tree,2.241,230.801
951.0,20.0,1.71,35.82,8.0,large_tree,2.239,86.54
1588.0,1180.0,2.61,35.81,8.0,large_tree,2.238,28.52
1015.0,1228.0,2.58,35.8,8.0,large_tree,2.238,267.973
